timestamp,equity,unrealized_pnl,positions
2026-03-18 18:35:55,201.3042,4.4608,3
2026-03-18 18:36:31,202.0139,5.1705,3
2026-03-18 18:37:05,201.9978,5.1183,3
2026-03-18 18:37:39,200.8395,3.9960,3
2026-03-18 18:38:13,200.7907,3.9473,3
2026-03-18 18:38:47,200.2858,3.4424,3
2026-03-18 18:39:21,199.9722,3.1224,3
2026-03-18 18:39:55,199.4765,2.6331,3
2026-03-18 18:40:29,200.1600,3.3165,3
2026-03-18 18:44:03,204.2262,7.3827,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.9177, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.5584, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.7421, ""strategy"": ""marketmaker""}]"
2026-03-18 18:44:38,204.5373,7.3813,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -2.073, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 8.063, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.7039, ""strategy"": ""marketmaker""}]"
2026-03-18 18:45:12,205.1136,8.2702,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -2.337, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 8.921, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.6836, ""strategy"": ""marketmaker""}]"
2026-03-18 18:45:46,204.0883,7.2449,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.857, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.361, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.7409, ""strategy"": ""marketmaker""}]"
2026-03-18 18:46:20,203.2599,6.4165,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.4414, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.0103, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8476, ""strategy"": ""marketmaker""}]"
2026-03-18 18:46:54,204.3850,7.5416,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.9754, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.7458, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.7712, ""strategy"": ""marketmaker""}]"
2026-03-18 18:47:28,204.0776,7.1262,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.745, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.997, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.9822, ""strategy"": ""marketmaker""}]"
2026-03-18 18:48:02,203.5430,6.6996,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.5039, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.2134, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.9901, ""strategy"": ""marketmaker""}]"
2026-03-18 18:48:36,203.5494,6.7060,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.4818, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.1416, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.0462, ""strategy"": ""breakout""}]"
2026-03-18 18:49:10,204.1507,7.3072,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.7754, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.0959, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.9868, ""strategy"": ""breakout""}]"
2026-03-18 18:49:45,204.1405,7.2971,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.833, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.283, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8471, ""strategy"": ""breakout""}]"
